"title","link","description","pubDate","releaseDate","guid","episodeType","episode","itunes_title","author","explicit","image","enclosure","duration","subtitle","summary","clean"
"868: The Hand That Rocks The Gavel","https://www.thisamericanlife.org/868/the-hand-that-rocks-the-gavel","A group of immigration judges, who almost never speak to the press, describes the dismantling of our immigration court system from the inside.

Prologue
Zoe Chace gives an eyewitness account of what has been happening at 26 Federal Plaza, an immigration courthouse in New York City. (5 minutes)

Act One
The judges walk us through how different their jobs have become in just the past few months, because of sweeping policy changes by Trump’s Department of Justice. (26 minutes)

Act Two
It gets extremely personal for the judges. Also, the story of one person who got pushed through the new immigration court system this summer. (23 minutes)","Sun, 21 Sep 2025 18:00:00 -0400","2025-09-19","45976 at https://www.thisamericanlife.org","full","868","The Hand That Rocks The Gavel","This American Life","no","https://www.thisamericanlife.org/sites/default/files/styles/rss_image/public/images/rss/tal-868-nojudgement-janerosenberg-sq_0.jpg?itok=9RZHrZl_","https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR4129523400.mp3","01:00:35","A group of immigration judges, who almost never speak to the press, describes the dismantling of our immigration court system from the inside.
","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/868.mp3"
"867: College Disorientation","https://www.thisamericanlife.org/867/college-disorientation","Things are different on college campuses this year. We see inside the drama, with students and staff.

Prologue
We go to orientation at Arizona State University and meet international students who are trying to make friends. (6 minutes)
By Emanuele Berry ; Produced by Miki Meek and Emmanuel Dzotsi

Act One
The president of the Black Student Union at the University of Utah fights to keep the B in BSU. (30 minutes)
By Emanuele Berry ; Produced by Miki Meek ; Additional editing by Robyn Semien
Song:“Be Real Black for Me” by Roberta Flack & Donny Hathaway","","2025-09-05","","Full","867","College Disorientation","This American Life","yes","","https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR2581159385.mp3","","Things are different on college campuses this year. We see inside the drama, with students and staff.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/867.mp3"
"866: Watch Out for That Tree","https://www.thisamericanlife.org/866/watch-out-for-that-tree","Small human plans that run into much larger obstacles.

Prologue
Angela's dad, an accountant, made a spreadsheet to prepare for their family trip to a national park. But there are things you never think to put in a spreadsheet. (7 minutes)
By Ira Glass

Act One
A young couple, excited to start a new chapter in their lives, is suddenly put on a very different trajectory. (30 minutes)
By Ira Glass and Suzanne Gaber","","2025-08-22","","Full","866","Watch Out for That Tree","This American Life","yes","","https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR5310093493.mp3","","Small human plans that run into much larger obstacles.","",""
"233: Starting From Scratch","https://www.thisamericanlife.org/233/starting-from-scratch","A man in retirement tries to start over in a new life with a new venture: a cable channel, with lots of puppies.

Prologue
Host Ira Glass talks to Jorge Just, who thought he'd started over successfully. He'd moved to New York, found an apartment that everyone told him was a great deal, things were looking good. Then a reality television show visited his building. (8 minutes)
By Ira Glass

Act One
Molly FitzSimons tells the story of her father starting over. After 25 years in the same zip code, as an executive in the same company, he moved to Los Angeles and tried to start over in a new life with a new venture: A cable channel, with no people, no talking, no plots, but lots and lots of puppies. (15 minutes)
By Molly FitzSimons

Act Two
Mary Beth Kirchner documents one day in the life of a hustler named Joe, who wakes up every morning broke, hustles as much as $10,000 during the day and then loses most of it by the time he goes to bed. What it's like to start from scratch every day of your life. (18 minutes) Some of the funding for this story came from the Corporation for Public Broadcasting's Radio Fund.
By Mary Beth Kirchner","","2003-03-07","","Full","233","Starting From Scratch","This American Life","yes","","https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR4591929511.mp3","","A man in retirement tries to start over in a new life with a new venture: a cable channel, with lots of puppies.","",""
"865: The Other Territory","https://www.thisamericanlife.org/865/the-other-territory","Since October 7, Israel has intensified restrictions on West Bank Palestinians while global attention focused on Gaza. We travel to the West Bank to see these changes in person.

Prologue
Ira joins Hamed on his Monday commute. He has to navigate a constantly changing series of checkpoints and roadblocks to get to work each day. Hamed works for Comet-ME , which sets up solar panels, water systems, and security cameras in small villages all over the West Bank. (13 minutes)
By Ira Glass

Act One
Settler violence has worsened significantly in the West Bank since October 7, 2023. Yael Even Or travels to a tiny village called Tuba, surrounded by Israeli settlements, to meet the 27-year-old resident trying to protect it. (26 minutes)
By Yael Even Or ; Produced by Dana Chivvis
Two quick snapshots of life in the West Bank since October 7th. (6 minutes)
By Ira Glass ; Produced by Ahmad Al-Bazz , Sawsan Khalife , and Lilly Sullivan","","2025-08-08","","Full","865","The Other Territory","This American Life","yes","","https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR3210182538.mp3","","Since October 7, Israel has intensified restrictions on West Bank Palestinians while global attention focused on Gaza. We travel to the West Bank to see these changes in person.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/865.mp3"
"864: Chicago Hope","https://www.thisamericanlife.org/864/chicago-hope","The story of the most commonly performed surgery, and what goes terribly wrong with it.

Prologue
Ira Glass introduces the first episode of an inventive new podcast from longtime This American Life producer and editor Susan Burton.

Act One
Susan Burton introduces Mindy, a labor and delivery nurse at UI Health at the University of Illinois at Chicago. (5 minutes)
By Susan Burton

Act Two
Another labor and delivery nurse at UI Health, Clara, gets ready to deliver twins at her own hospital and receives an epidural. (19 minutes)

Act Three
Clara’s anesthesia is not working. She is now in the middle of major abdominal surgery, and she can feel that surgery. (21 minutes)","","2025-07-11","","Full","864","Chicago Hope","This American Life","yes","","https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR3974539898.mp3","","The story of the most commonly performed surgery, and what goes terribly wrong with it.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/864.mp3"
"863: Championship Window","https://www.thisamericanlife.org/863/championship-window","People on a mission to achieve their goals before their window of opportunity closes.

Prologue
Guest host Emmanuel Dzotsi goes to a packed sports bar in Brooklyn for his favorite soccer team’s biggest game in years. (6 minutes)
By Emmanuel Dzotsi

Act One
Connie Wang tells the story of a championship window she didn't realize she was in — until it was too late. (14 minutes) Connie is the author of the book Oh My Mother! We got the idea to do this story from Aaron Reiss.
By Connie Wang ; Produced by Diane Wu

Act Two
Seth Lind, our Operations Director, isn’t a crier. But he wants to connect with his emotions, so guest host Emmanuel Dzotsi sets up an unconventional experiment. (14 minutes)
By Emmanuel Dzotsi
Act Three","","2025-06-20","","Full","863","Championship Window","This American Life","yes","","https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR9271186174.mp3","","People on a mission to achieve their goals before their window of opportunity closes.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/863.mp3"
"862: Some Things We Don't Do Anymore","https://www.thisamericanlife.org/862/some-things-we-dont-do-anymore","Trump froze U.S. foreign aid and dismantled USAID. We examine the agency’s impact and hear from people trying to navigate this chaotic moment.

Prologue
Just one box of a specially enriched peanut butter paste can save the life of a severely malnourished child. So why have 500,000 of those boxes been stuck in warehouses in Rhode Island? (13 minutes)
By Ira Glass

Act One
USAID was founded in 1961. Since then, it has spent hundreds of billions of dollars all over the world. What did that get us? Producer David Kestenbaum talked with Joshua Craze and John Norris about that. (12 minutes) Joshua Craze's article for the New York Review of Books is "" USAID: Goodbye to All That? "" John Norris wrote the book The Enduring Struggle - The History of the U.S. Agency for International Development and America’s Uneasy Transformation of the World .
By David Kestenbaum

Act Two
Two Americans moved to Eswatini when that country was the epicenter of the AIDS epidemic. With support from USAID, they built a clinic and started serving HIV+ patients. Now that US support for their clinic has ended, they are wondering if what they did was entirely a good thing. (27 minutes) Chico Harlan wrote about USAID in Eswatini for The Washington Post.
By Diane Wu and Chico Harlan
Act Three","","2025-06-06","","Full","862","Some Things We Don't Do Anymore","This American Life","yes","","https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR9826036922.mp3","","Trump froze U.S. foreign aid and dismantled USAID. We examine the agency’s impact and hear from people trying to navigate this chaotic moment.","",""
"861: Group Chat","https://www.thisamericanlife.org/861/group-chat","Conversations across a divide: People who are outside a war zone check in with family, friends, and strangers inside.

Prologue
The Hammash family’s group chat unfolds over texts, starting before the war. (8 minutes)

Act One
When Yousef Hammash left Gaza a year ago, his sisters decided to stay behind. We hear about the toll that separation has taken on Yousef and the sister he’s closest to, Aseel. (30 minutes)
By Chana Joffe-Walt ; Produced by Nancy Updike

Act Two
Mohammed Mhawish , a reporter who left Gaza a year ago with his family, talks to a young woman in Gaza about how she manages her hunger. Israel blockaded all food from Gaza for more than two months. (15 minutes) Mohammed Mhawish is a contributing writer for The Nation , which is where we first read about his experiences with hunger in "" What It Feels Like to Starve .""
By Mohammed Mhawish ; Produced by Diane Wu","","2025-05-23","","Full","861","Group Chat","This American Life","yes","","https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR4038782354.mp3","","Conversations across a divide: People who are outside a war zone check in with family, friends, and strangers inside.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/861.mp3"
"860: Suddenly: A Mirror!","https://www.thisamericanlife.org/860/suddenly-a-mirror","A show about people who are suddenly confronted with who they are.

Prologue
Guest host Aviva DeKornfeld tells Ira Glass about breaking into a community pool as a kid, and the split-second decision that has haunted her ever since. (4 minutes)

Act One
Some people are great in a crisis. Others, not so much. Does that mean anything about who we really are? Tobin Low investigates. (10 minutes)
By Tobin Low

Act Two
Aviva DeKornfeld has the story of Leisha Hailey, who was certain she had the next million-dollar idea. (11 minutes)
By Aviva DeKornfeld

Act Three
Comedian Mike Birbiglia talks about the questions his daughter asks him and how trying to answer them showed him surprising reflections of himself.  (15 minutes) This is an excerpt from Mike Birbiglia’s special, “ The Good Life .”
By Mike Birbiglia
Act Four","","2025-05-09","","Full","860","Suddenly: A Mirror!","This American Life","yes","","https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR7502652376.mp3","","A show about people who are suddenly confronted with who they are.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/860.mp3"
