"title","link","description","pubDate","releaseDate","guid","episodeType","episode","itunes_title","author","explicit","image","enclosure","duration","subtitle","summary","clean"
"868: The Hand That Rocks The Gavel","https://www.thisamericanlife.org/868/the-hand-that-rocks-the-gavel","","2025-09-12T11:27:18-04:00","2025-09-19T00:00:00-00:00","","Full","868","The Hand That Rocks The Gavel (Promo)","This American Life","yes","","","","A group of immigration judges, who almost never speak to the press, describes the dismantling of our immigration court system from the inside.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/868.mp3"
"867: College Disorientation","https://www.thisamericanlife.org/867/college-disorientation","","2025-09-05T10:42:54-04:00","2025-09-12T00:00:00-00:00","","Full","867","College Disorientation","This American Life","yes","","","","Things are different on college campuses this year. We see inside the drama, with students and staff.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/867.mp3"
"866: Watch Out for That Tree","https://www.thisamericanlife.org/866/watch-out-for-that-tree","","2025-08-22T09:00:55-04:00","2025-09-05T00:00:00-00:00","","Full","866","Watch Out for That Tree","This American Life","yes","","","","Small human plans that run into much larger obstacles.","",""
"233: Starting From Scratch","https://www.thisamericanlife.org/233/starting-from-scratch","","2003-03-07T00:00:00-05:00","2003-03-07T00:00:00-00:00","","Full","233","Starting From Scratch","This American Life","yes","","","","A man in retirement tries to start over in a new life with a new venture: a cable channel, with lots of puppies.","",""
"865: The Other Territory","https://www.thisamericanlife.org/865/the-other-territory","","2025-08-08T12:28:20-04:00","2025-08-22T00:00:00-00:00","","Full","865","The Other Territory","This American Life","yes","","","","Since October 7, Israel has intensified restrictions on West Bank Palestinians while global attention focused on Gaza. We travel to the West Bank to see these changes in person.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/865.mp3"
"864: Chicago Hope","https://www.thisamericanlife.org/864/chicago-hope","","2025-07-11T11:55:50-04:00","2025-07-18T00:00:00-00:00","","Full","864","Chicago Hope","This American Life","yes","","","","The story of the most commonly performed surgery, and what goes terribly wrong with it.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/864.mp3"
"863: Championship Window","https://www.thisamericanlife.org/863/championship-window","","2025-06-20T11:52:32-04:00","2025-06-27T00:00:00-00:00","","Full","863","Championship Window","This American Life","yes","","","","People on a mission to achieve their goals before their window of opportunity closes.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/863.mp3"
"862: Some Things We Don't Do Anymore","https://www.thisamericanlife.org/862/some-things-we-dont-do-anymore","","2025-06-06T09:29:47-04:00","2025-06-20T00:00:00-00:00","","Full","862","Some Things We Don't Do Anymore","This American Life","yes","","","","Trump froze U.S. foreign aid and dismantled USAID. We examine the agency’s impact and hear from people trying to navigate this chaotic moment.","",""
"861: Group Chat","https://www.thisamericanlife.org/861/group-chat","","2025-05-23T10:34:25-04:00","2025-05-30T00:00:00-00:00","","Full","861","Group Chat","This American Life","yes","","","","Conversations across a divide: People who are outside a war zone check in with family, friends, and strangers inside.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/861.mp3"
"860: Suddenly: A Mirror!","https://www.thisamericanlife.org/860/suddenly-a-mirror","","2025-05-09T11:01:22-04:00","2025-05-23T00:00:00-00:00","","Full","860","Suddenly: A Mirror!","This American Life","yes","","","","A show about people who are suddenly confronted with who they are.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/860.mp3"
"859: Chaos Graph","https://www.thisamericanlife.org/859/chaos-graph","","2025-04-18T10:50:10-04:00","2025-04-25T00:00:00-00:00","","Full","859","Chaos Graph","This American Life","yes","","","","People immersed in chaos try to solve for what it all adds up to.","",""
"858: How to Tell a Dumb American Story","https://www.thisamericanlife.org/858/how-to-tell-a-dumb-american-story","","2025-04-04T11:18:49-04:00","2025-04-11T00:00:00-00:00","","Full","858","How to Tell a Dumb American Story","This American Life","yes","","","","A couple devises a strategy to get their daughter's killer prosecuted and to get attention for other Native families.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/858.mp3"
"857: Museum of Now","https://www.thisamericanlife.org/857/museum-of-now","","2025-03-21T10:33:42-04:00","2025-03-28T00:00:00-00:00","","Full","857","Museum of Now","This American Life","yes","","","","Artifacts and exhibits of this particular moment we are living through.","",""
"856: You’ve Come to the Right Person","https://www.thisamericanlife.org/856/youve-come-to-the-right-person","","2025-03-07T14:30:07-05:00","2025-03-14T00:00:00-00:00","","Full","856","You’ve Come to the Right Person","This American Life","yes","","","","Sometimes, life’s biggest mysteries require one very specific person to answer them.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/856.mp3"
"855: That’s a Weird Thing to Lie About","https://www.thisamericanlife.org/855/thats-a-weird-thing-to-lie-about","","2025-02-14T11:29:55-05:00","2025-02-28T00:00:00-00:00","","Full","855","That’s a Weird Thing to Lie About","This American Life","yes","","","","Unnecessary and outrageous lies that make you wonder — why lie about that in the first place?","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/855.mp3"
"854: Ten Things I Don't Want to Hate About You","https://www.thisamericanlife.org/854/ten-things-i-dont-want-to-hate-about-you","","2025-02-14T11:29:11-05:00","2025-02-21T00:00:00-00:00","","Full","854","Ten Things I Don't Want to Hate About You","This American Life","yes","","","","Zach Mack and his dad try to mend a rift between them in a very unusual way.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/854.mp3"
"853: Groundhog Day","https://www.thisamericanlife.org/853/groundhog-day","","2025-01-24T10:57:32-05:00","2025-01-31T00:00:00-00:00","","Full","853","Groundhog Day","This American Life","yes","","","","People stuck in a loop, trying to find their way out.","",""
"852: Pivot Point","https://www.thisamericanlife.org/852/pivot-point","","2025-01-10T11:47:17-05:00","2025-01-17T00:00:00-00:00","","Full","852","Pivot Point","This American Life","yes","","","","People living in that in-between moment before everything changes.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/852.mp3"
"851: Try a Little Tenderness","https://www.thisamericanlife.org/851/try-a-little-tenderness","","2025-01-03T10:33:26-05:00","2025-01-10T00:00:00-00:00","","Full","851","Try a Little Tenderness","This American Life","yes","","","","People try a radical approach to solving their problems.","",""
"850: If You Want to Destroy My Sweater, Hold This Thread as I Walk Away","https://www.thisamericanlife.org/850/my-sweater","","2024-12-13T11:07:48-05:00","2024-12-20T00:00:00-00:00","","Full","850","If You Want to Destroy My Sweater, Hold This Thread as I Walk Away","This American Life","yes","","","","The tiny thing that unravels your world.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/850.mp3"
"849: The Narrator","https://www.thisamericanlife.org/849/the-narrator","","2024-12-06T10:48:37-05:00","2024-12-13T00:00:00-00:00","","Full","849","The Narrator","This American Life","yes","","","","Banias is an 8-year-old kid living in Gaza. And she has a story to tell — many stories, in fact.","",""
"848: The Official Unofficial Record","https://www.thisamericanlife.org/848/the-official-unofficial-record","","2024-11-15T13:32:32-05:00","2024-11-22T00:00:00-00:00","","Full","848","The Official Unofficial Record","This American Life","yes","","","","How do you count almost 12 million votes if you’re not the government?","",""
"847: The Truly Incredible Story of Keiko the Killer Whale","https://www.thisamericanlife.org/847/the-truly-incredible-story-of-keiko-the-killer-whale","","2024-11-08T11:18:15-05:00","2024-11-15T00:00:00-00:00","","Full","847","The Truly Incredible Story of Keiko the Killer Whale","This American Life","yes","","","","A colossal effort to un-tame a whale and send him back to the ocean.","",""
"846: This Is the Cake We Baked","https://www.thisamericanlife.org/846/this-is-the-cake-we-baked","","2024-10-31T14:09:57-04:00","2024-11-08T00:00:00-00:00","","Full","846","This Is the Cake We Baked","This American Life","yes","","","","We talk to people who helped make Trump's victory happen and some who are looking to what’s next.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/846.mp3"
"845: A Small Thing That Gives Me a Tiny Shred of Hope","https://www.thisamericanlife.org/845/a-small-thing","","2024-10-25T10:02:33-04:00","2024-11-01T00:00:00-00:00","","Full","845","A Small Thing That Gives Me a Tiny Shred of Hope","This American Life","yes","","","","A wee flame, flickering in the dark.","","https://www.thisamericanlife.org/sites/default/files/audio/upload/clean/845.mp3"
"844: This Is the Case of Henry Dee","https://www.thisamericanlife.org/844/this-is-the-case-of-henry-dee","","2024-10-10T12:00:41-04:00","2024-10-18T00:00:00-00:00","","Full","844","This Is the Case of Henry Dee","This American Life","yes","","","","Thirteen parole board members decide whether or not one man should be released from prison.","",""
